gene_symbol,chromosome,gene_name,gene_count
SUV39H2,10,"Suppressor of variegation 3-9 homolog 2 (Drosophila)",1
SFTPA1,10,"Surfactant, pulmonary-associated protein A1",1
TCF7L2,10,"transcription factor 7-like 2 (T-cell specific, HMG-box)",1
FAS,10,"Fas (TNFRSF6) associated factor 1",1
BUB3,10,"BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)",1
CUL2,10,"Cullin 2",1
MRC1,10,"Mannose receptor, C type 1",1
DMBT1,10,"Deleted in malignant brain tumors 1",1
CYP2C8,10,"Cytochrome P450, family 2, subfamily C, polypeptide 8",1
CYP17,10,"cytochrome P450, family 17, subfamily A, polypeptide 1",1
ABCC2,10,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2",1
GSTP1,11,"Glutathione S-transferase pi",94
CCND1,11,"Cyclin D1",73
MMP1,11,"Matrix metallopeptidase 1 (interstitial collagenase)",48
ATM,11,"Ataxia telangiectasia mutated (includes complementation groups A, C and D)",44
MMP3,11,"matrix metallopeptidase 3 (stromelysin 1, progelatinase)",31
PGR,11,"Progesterone receptor",18
Hras,11,"V-Ha-ras Harvey rat sarcoma viral oncogene homolog",13
MEN1,11,"Multiple endocrine neoplasia I",8
CAT,11,Catalase,8
MMP12,11,"Matrix metallopeptidase 12 (macrophage elastase)",6
MMP7,11,"Matrix metallopeptidase 7 (matrilysin, uterine)",6
IL18,11,"Interleukin 18 (interferon-gamma-inducing factor)",6
INS,11,Insulin,6
SDHD,11,"Succinate dehydrogenase complex, subunit D, integral membrane protein",6
MLL,11,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)",5
RAS,11,"v-Ha-ras Harvey rat sarcoma viral oncogene homolog",4
AIP,11,"Aryl hydrocarbon receptor interacting protein",4
IGF2,11,"Insulin-like growth factor 2 (somatomedin A)",4
WT1,11,"Wilms tumor 1",4
MMP8,11,"Matrix metallopeptidase 8 (neutrophil collagenase)",3
MMP13,11,"Matrix metallopeptidase 13 (collagenase 3)",3
PTPRJ,11,"Protein tyrosine phosphatase, receptor type, J",3
DRD2,11,"Dopamine receptor D2",3
DRD4,11,"Dopamine receptor D4",2
PPP2R1B,11,"Protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform",2
FOLH1,11,"Folate hydrolase (prostate-specific membrane antigen) 1",2
TYR,11,"Tyrosinase (oculocutaneous albinism IA)",2
RAG1,11,"Recombination activating gene 1",2
F2,11,"Coagulation factor II (thrombin)",2
MDK,11,"midkine (neurite growth-promoting factor 2)",2
HSPA8,11,"Heat shock 70kDa protein 8",1
LSP1,11,"Lymphocyte-specific protein 1",1
SIPA1,11,"Signal-induced proliferation-associated gene 1",1
H2AFX,11,"H2A histone family, member X",1
ZBTB16,11,"Zinc finger and BTB domain containing 16",1
TH,11,"Tyrosine hydroxylase",1
APOC3,11,"Similar to Apolipoprotein C-III precursor (Apo-CIII)",1
TIRAP,11,"Toll-interleukin 1 receptor (TIR) domain containing adaptor protein",1
DDB2,11,"Damage-specific DNA binding protein 2, 48kDa",1
HCCA2,11,"HCCA2 protein",1
FOLR1,11,"Folate receptor 1 (adult)",1
CHEK1,11,"CHK1 checkpoint homolog (S. pombe)",1
RNH1,11,"ribonuclease/angiogenin inhibitor 1",1
RRM1,11,"Transport protein, putative",1
NUMA1,11,"Nuclear mitotic apparatus protein 1",1
MRE11A,11,"MRE11 meiotic recombination 11 homolog A (S. cerevisiae)",1
CALCA,11,"Calcitonin/calcitonin-related polypeptide, alpha",1
IL10RA,11,"Interleukin 10 receptor, alpha",1
PAK1,11,"P21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)",1
CD5,11,"CD5 antigen (p56-62)",1
APOA1,11,"Apolipoprotein A-I",1
RELA,11,"V-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)",1
PANX1,11,"Pannexin 1",1
APOA5,11,"Apolipoprotein A-V",1
